Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::empty,,,1.32,4.41,0,0,0,0
empty_tensor,,,3.09,3.09,0,0,0,0
aten::empty_like,,,2.59,9.23,0,0,0,0
aten::empty_strided,,,4.26,6.64,0,0,0,0
empty_tensor,,,2.38,2.38,0,0,0,0
aten::empty,,,2.32,14.48,0,0,0,0
empty_tensor,,,12.16,12.16,0,0,0,0
aclnnRmsNormDynamicQuant,,,12.67,12.67,6.5005,6.5005,0,0
npu::npu_quant_matmul,,,30.77,55.22,0,35.5805,0,0
empty_tensor,,,7.22,7.22,0,0,0,0
aten::empty,,,1.77,4.42,0,0,0,0
empty_tensor,,,2.65,2.65,0,0,0,0
aten::empty,,,1.0,2.73,0,0,0,0
empty_tensor,,,1.73,1.73,0,0,0,0
aclnnQuantMatmulWeightNz,,,10.08,10.08,35.5805,35.5805,0,0
aten::unflatten,,,11.62,20.45,0,0,0,0
aten::view,,,8.83,8.83,0,0,0,0
aten::view,,,2.97,2.97,0,0,0,0
aten::empty_like,,,6.72,18.84,0,0,0,0
aten::empty_strided,,,7.93,12.12,0,0,0,0
empty_tensor,,,4.19,4.19,0,0,0,0
triton_rms_kernel,,,23.48,23.48,13.1005,13.1005,0,0
aten::view,,,8.4,8.4,0,0,0,0
aten::unsqueeze,,,3.16,7.73,0,0,0,0
aten::as_strided,,,4.57,4.57,0,0,0,0
_C_ascend::inplace_partial_rotary_mul,,,51.38,81.64,0,5.5,0,0
aten::empty,,,4.23,18.34,0,0,0,0
empty_tensor,,,14.11,14.11,0,0,0,0
aclnnInplacePartialRotaryMul,,,11.92,11.92,5.5,5.5,0,0
wait_event,,,7.86,7.86,0.02,0.02,0,0
aten::slice,,,9.94,19.41,0,0,0,0
aten::as_strided,,,9.47,9.47,0,0,0,0
npu::npu_dynamic_quant,,,569.83,608.14,0,7.0805,0,0
empty_tensor,,,15.25,15.25,0,0,0,0
empty_tensor,,,8.88,8.88,0,0,0,0
aclnnDynamicQuantV2,,,14.18,14.18,7.0805,7.0805,0,0
npu::npu_quant_matmul,,,1088.6,1131.55,0,14.16,0,0
empty_tensor,,,20.89,20.89,0,0,0,0
aten::empty,,,3.03,5.32,0,0,0,0
empty_tensor,,,2.29,2.29,0,0,0,0
aten::empty,,,1.15,3.07,0,0,0,0
empty_tensor,,,1.92,1.92,0,0,0,0
aclnnQuantMatmulWeightNz,,,13.67,13.67,14.16,14.16,0,0
npu::npu_rms_norm,,,136.15,166.02,0,9.5605,0,0
empty_tensor,,,10.99,10.99,0,0,0,0
empty_tensor,,,3.43,3.43,0,0,0,0
aclnnRmsNorm,,,15.45,15.45,9.5605,9.5605,0,0
aten::view,,,6.66,6.66,0,0,0,0
aten::unsqueeze,,,3.18,7.2,0,0,0,0
aten::as_strided,,,4.02,4.02,0,0,0,0
aten::slice,,,3.63,5.98,0,0,0,0
aten::as_strided,,,2.35,2.35,0,0,0,0
aten::slice,,,1.59,3.34,0,0,0,0
aten::as_strided,,,1.75,1.75,0,0,0,0
_C_ascend::inplace_partial_rotary_mul,,,104.23,133.11,0,10.1,0,0
aten::empty,,,3.62,16.73,0,0,0,0
empty_tensor,,,13.11,13.11,0,0,0,0
aclnnInplacePartialRotaryMul,,,12.15,12.15,10.1,10.1,0,0
_C_ascend::npu_scatter_nd_update_sk,,,113.1,141.89,0,25.8805,0,0
aten::empty,,,3.07,17.27,0,0,0,0
empty_tensor,,,14.2,14.2,0,0,0,0
aclnnScatterNdUpdateSk,,,11.52,11.52,25.8805,25.8805,0,0
_C_ascend::npu_sparse_attn_sharedkv,,,179.86,224.79,0,23.7405,0,0
aten::empty,,,2.81,13.41,0,0,0,0
empty_tensor,,,10.6,10.6,0,0,0,0
aten::empty,,,1.33,3.52,0,0,0,0
empty_tensor,,,2.19,2.19,0,0,0,0
aten::empty,,,2.88,15.01,0,0,0,0
empty_tensor,,,12.13,12.13,0,0,0,0
aclnnSparseAttnSharedkv,,,12.99,12.99,23.7405,23.7405,0,0
destroy_event,,,2.98,2.98,0,0,0,0
aten::unsqueeze,,,3.88,8.88,0,0,0,0
aten::as_strided,,,5.0,5.0,0,0,0,0
aten::neg,,,17.64,36.2,0,1.0,0,0
empty_tensor,,,8.87,8.87,0,0,0,0
aclnnNeg,,,9.69,9.69,1.0,1.0,0,0
_C_ascend::inplace_partial_rotary_mul,,,37.97,62.59,0,5.22,0,0
aten::empty,,,2.9,14.05,0,0,0,0
empty_tensor,,,11.15,11.15,0,0,0,0
aclnnInplacePartialRotaryMul,,,10.57,10.57,5.22,5.22,0,0
aten::view,,,5.67,5.67,0,0,0,0
aten::permute,,,3.17,8.76,0,0,0,0
aten::as_strided,,,5.59,5.59,0,0,0,0
aten::contiguous,,,8.27,55.49,0,12.2,0,0
aten::clone,,,8.15,47.22,0,12.2,0,0
empty_tensor,,,7.54,7.54,0,0,0,0
aten::copy_,,,23.11,31.53,0,12.2,0,0
aclnnInplaceCopy,,,8.42,8.42,12.2,12.2,0,0
aten::view,,,3.61,3.61,0,0,0,0
aten::empty_like,,,5.04,15.56,0,0,0,0
aten::empty_strided,,,7.68,10.52,0,0,0,0
empty_tensor,,,2.84,2.84,0,0,0,0
c10d::alltoall_base_,,,77.46,109.17,0,13.600000000000001,0,0
record_event,,,13.07,13.07,0.22,0.22,0,0
wait_event,,,3.71,3.71,0.02,0.02,0,0
HcclAlltoAll,,,2.5,8.77,0,13.14,0,0
HcclAlltoAll,,,6.27,6.27,13.14,13.14,0,0
record_event,,,3.49,3.49,0.2,0.2,0,0
record_event,,,2.67,2.67,0.02,0.02,0,0
wait_event,,,3.48,3.48,0.02,0.02,0,0
destroy_event,,,1.95,1.95,0,0,0,0
aten::view,,,5.57,5.57,0,0,0,0
npu::npu_transpose_batchmatmul,,,45.62,66.38,0,33.181,0,0
empty_tensor,,,11.27,11.27,0,0,0,0
aclnnTransposeBatchMatMul,,,9.49,9.49,33.181,33.181,0,0
aten::reshape,,,2.58,7.09,0,0,0,0
aten::view,,,4.51,4.51,0,0,0,0
vllm::matmul_and_reduce,,,194.64,1731.73,0,33.0405,0,0
vllm::unquantized_gemm,,,1156.34,1260.15,0,16.0805,0,0
aten::linear,,,12.11,103.81,0,16.0805,0,0
aten::t,,,18.08,34.43,0,0,0,0
aten::transpose,,,6.61,16.35,0,0,0,0
aten::as_strided,,,9.74,9.74,0,0,0,0
aten::matmul,,,26.56,57.27,0,16.0805,0,0
empty_tensor,,,18.03,18.03,0,0,0,0
aclnnMatmul,,,12.68,12.68,16.0805,16.0805,0,0
vllm::reduce_scatter,,,132.45,276.94,0,16.96,0,0
aten::movedim,,,1.99,13.83,0,0,0,0
aten::movedim,,,3.47,11.84,0,0,0,0
aten::permute,,,3.32,8.37,0,0,0,0
aten::as_strided,,,5.05,5.05,0,0,0,0
aten::empty,,,3.08,16.46,0,0,0,0
empty_tensor,,,13.38,13.38,0,0,0,0
c10d::_reduce_scatter_base_,,,60.73,93.79,0,16.96,0,0
record_event,,,17.03,17.03,0.02,0.02,0,0
wait_event,,,3.14,3.14,3.78,3.78,0,0
HcclReduceScatterBase,,,3.78,5.88,0,12.94,0,0
HcclReduceScatter,,,2.1,2.1,12.94,12.94,0,0
record_event,,,4.23,4.23,0.2,0.2,0,0
record_event,,,2.78,2.78,0.02,0.02,0,0
wait_event,,,3.76,3.76,0.0,0.0,0,0
destroy_event,,,1.97,1.97,0,0,0,0
aten::movedim,,,1.51,14.68,0,0,0,0
aten::movedim,,,2.68,13.17,0,0,0,0
aten::permute,,,2.93,10.49,0,0,0,0
aten::as_strided,,,7.56,7.56,0,0,0,0
aten::copy_,,,60.52,85.33,0,0.72,0,0
aclnnInplaceCopy,,,24.81,24.81,0.72,0.72,0,0
aten::unsqueeze,,,5.09,9.42,0,0,0,0
aten::as_strided,,,4.33,4.33,0,0,0,0
aten::unsqueeze,,,2.21,3.76,0,0,0,0
aten::as_strided,,,1.55,1.55,0,0,0,0
aten::unsqueeze,,,2.06,3.58,0,0,0,0
aten::as_strided,,,1.52,1.52,0,0,0,0
aten::detach,,,7.05,7.05,0,0,0,0
aten::reshape,,,5.6,9.46,0,0,0,0
aten::view,,,3.86,3.86,0,0,0,0
aten::unsqueeze,,,3.2,5.19,0,0,0,0
aten::as_strided,,,1.99,1.99,0,0,0,0
_C_ascend::npu_hc_post,,,48.32,93.47,0,8.76,0,0
aten::empty,,,6.59,18.45,0,0,0,0
empty_tensor,,,11.86,11.86,0,0,0,0
aten::empty,,,3.03,14.21,0,0,0,0
empty_tensor,,,11.18,11.18,0,0,0,0
aclnnHcPost,,,12.49,12.49,8.76,8.76,0,0
aten::squeeze,,,7.47,10.44,0,0,0,0
aten::as_strided,,,2.97,2.97,0,0,0,0
_C_ascend::npu_hc_pre_v2,,,39.77,84.04,0,32.8605,0,0
aten::empty,,,2.21,11.17,0,0,0,0
empty_tensor,,,8.96,8.96,0,0,0,0
aten::empty,,,1.25,4.99,0,0,0,0
empty_tensor,,,3.74,3.74,0,0,0,0
aten::empty,,,2.47,6.42,0,0,0,0
empty_tensor,,,3.95,3.95,0,0,0,0
aten::empty,,,2.14,10.81,0,0,0,0
empty_tensor,,,8.67,8.67,0,0,0,0
aclnnHcPre,,,10.88,10.88,32.8605,32.8605,0,0
npu::npu_rms_norm,,,54.82,75.94,0,4.78,0,0
empty_tensor,,,7.15,7.15,0,0,0,0
empty_tensor,,,3.71,3.71,0,0,0,0
aclnnRmsNorm,,,10.26,10.26,4.78,4.78,0,0
aten::reshape,,,4.67,9.37,0,0,0,0
aten::view,,,4.7,4.7,0,0,0,0
vllm::moe_forward_shared,,,2326.04,7032.52,0,450.609,0,0
aten::to,,,5.55,56.02,0,6.34,0,0
aten::_to_copy,,,8.93,50.47,0,6.34,0,0
aten::empty_strided,,,9.61,14.48,0,0,0,0
empty_tensor,,,4.87,4.87,0,0,0,0
aten::copy_,,,15.98,27.06,0,6.34,0,0
aclnnInplaceCopy,,,11.08,11.08,6.34,6.34,0,0
Event::record,,,173.6,188.23,0,0.02,0,0
record_event,,,14.63,14.63,0.02,0.02,0,0
aten::linear,,,4.93,65.05,0,11.3005,0,0
aten::t,,,5.86,17.93,0,0,0,0
aten::transpose,,,3.19,12.07,0,0,0,0
aten::as_strided,,,8.88,8.88,0,0,0,0
aten::matmul,,,20.13,42.19,0,11.3005,0,0
empty_tensor,,,12.57,12.57,0,0,0,0
aclnnMatmul,,,9.49,9.49,11.3005,11.3005,0,0
Event::record,,,73.52,86.13,0,0.02,0,0
record_event,,,12.61,12.61,0.02,0.02,0,0
vllm::maybe_all_gather_and_maybe_unpad,,,54.41,322.82,0,11.26,0,0
vllm::all_gather,,,134.77,268.41,0,11.26,0,0
aten::empty,,,4.85,19.63,0,0,0,0
empty_tensor,,,14.78,14.78,0,0,0,0
c10d::_allgather_base_,,,56.44,84.6,0,11.26,0,0
record_event,,,13.27,13.27,0.22,0.22,0,0
wait_event,,,3.36,3.36,0.02,0.02,0,0
HcclAllgatherBase,,,3.3,5.17,0,11.0,0,0
HcclAllGather,,,1.87,1.87,11.0,11.0,0,0
record_event,,,3.5,3.5,0.0,0.0,0,0
record_event,,,2.86,2.86,0.02,0.02,0,0
wait_event,,,3.11,3.11,0.0,0.0,0,0
destroy_event,,,1.68,1.68,0,0,0,0
aten::reshape,,,2.07,8.45,0,0,0,0
aten::view,,,6.38,6.38,0,0,0,0
aten::movedim,,,1.49,11.86,0,0,0,0
aten::movedim,,,2.93,10.37,0,0,0,0
aten::permute,,,3.41,7.44,0,0,0,0
aten::as_strided,,,4.03,4.03,0,0,0,0
aten::reshape,,,1.24,4.31,0,0,0,0
aten::view,,,3.07,3.07,0,0,0,0
vllm::maybe_all_gather_and_maybe_unpad,,,40.35,292.71,0,12.959999999999999,0,0
vllm::all_gather,,,117.74,252.36,0,12.959999999999999,0,0
aten::empty,,,3.04,16.28,0,0,0,0
empty_tensor,,,13.24,13.24,0,0,0,0
c10d::_allgather_base_,,,51.53,90.23,0,12.959999999999999,0,0
record_event,,,13.83,13.83,0.02,0.02,0,0
wait_event,,,3.33,3.33,7.0,7.0,0,0
HcclAllgatherBase,,,3.26,5.09,0,5.68,0,0
HcclAllGather,,,1.83,1.83,5.68,5.68,0,0
record_event,,,13.47,13.47,0.02,0.02,0,0
record_event,,,2.98,2.98,0.24,0.24,0,0
wait_event,,,3.42,3.42,0.0,0.0,0,0
destroy_event,,,2.34,2.34,0,0,0,0
aten::reshape,,,1.76,7.37,0,0,0,0
aten::view,,,5.61,5.61,0,0,0,0
aten::movedim,,,1.87,11.29,0,0,0,0
aten::movedim,,,2.6,9.42,0,0,0,0
aten::permute,,,2.82,6.82,0,0,0,0
aten::as_strided,,,4.0,4.0,0,0,0,0
aten::reshape,,,0.84,3.69,0,0,0,0
aten::view,,,2.85,2.85,0,0,0,0
aten::to,,,2.36,111.5,0,1.04,0,0
aten::_to_copy,,,6.0,109.14,0,1.04,0,0
aten::empty_strided,,,12.55,19.18,0,0,0,0
empty_tensor,,,6.63,6.63,0,0,0,0
aten::copy_,,,71.73,83.96,0,1.04,0,0
aclnnInplaceCopy,,,12.23,12.23,1.04,1.04,0,0
aten::to,,,1.41,1.41,0,0,0,0
aten::eq,,,85.91,107.13,0,2.1405,0,0
empty_tensor,,,10.98,10.98,0,0,0,0
aclnnEqScalar,,,10.24,10.24,2.1405,2.1405,0,0
aten::where,,,14.21,141.32,0,3.8600000000000003,0,0
aten::scalar_tensor,,,13.18,43.57,0,1.14,0,0
aten::empty,,,2.46,13.49,0,0,0,0
empty_tensor,,,11.03,11.03,0,0,0,0
aten::fill_,,,13.86,16.9,0,1.14,0,0
aclnnInplaceFillScalar,,,3.04,3.04,1.14,1.14,0,0
aten::to,,,0.59,0.59,0,0,0,0
aten::where,,,71.52,82.95,0,2.72,0,0
empty_tensor,,,8.21,8.21,0,0,0,0
aclnnSWhere,,,3.22,3.22,2.72,2.72,0,0
_C_ascend::moe_gating_top_k_hash,,,57.27,91.63,0,11.2605,0,0
aten::empty,,,2.7,11.48,0,0,0,0
empty_tensor,,,8.78,8.78,0,0,0,0
aten::empty,,,1.28,5.57,0,0,0,0
empty_tensor,,,4.29,4.29,0,0,0,0
aten::empty,,,1.11,5.02,0,0,0,0
empty_tensor,,,3.91,3.91,0,0,0,0
aclnnMoeGatingTopKHash,,,12.29,12.29,11.2605,11.2605,0,0
aten::to,,,1.92,85.96,0,1.06,0,0
aten::_to_copy,,,5.89,84.04,0,1.06,0,0
aten::empty_strided,,,7.6,13.08,0,0,0,0
empty_tensor,,,5.48,5.48,0,0,0,0
aten::copy_,,,54.6,65.07,0,1.06,0,0
aclnnInplaceCopy,,,10.47,10.47,1.06,1.06,0,0
aten::detach,,,6.71,6.71,0,0,0,0
aten::detach,,,1.32,1.32,0,0,0,0
Event::record,,,80.83,94.16,0,0.02,0,0
record_event,,,13.33,13.33,0.02,0.02,0,0
aten::index,,,169.3,196.05,0,23.66,0,0
empty_tensor,,,7.43,7.43,0,0,0,0
empty_tensor,,,7.86,7.86,0,0,0,0
aclnnIndex,,,11.46,11.46,23.66,23.66,0,0
aten::ne,,,83.67,95.69,0,1.66,0,0
empty_tensor,,,7.75,7.75,0,0,0,0
aclnnNeScalar,,,4.27,4.27,1.66,1.66,0,0
aten::mul,,,75.26,86.6,0,2.94,0,0
empty_tensor,,,7.7,7.7,0,0,0,0
aclnnMul,,,3.64,3.64,2.94,2.94,0,0
npu::npu_moe_init_routing_v2,,,190.25,228.65,0,30.9805,0,0
empty_tensor,,,11.85,11.85,0,0,0,0
empty_tensor,,,6.76,6.76,0,0,0,0
empty_tensor,,,4.49,4.49,0,0,0,0
empty_tensor,,,3.44,3.44,0,0,0,0
aclnnMoeInitRoutingV3,,,11.86,11.86,30.9805,30.9805,0,0
aten::to,,,1.72,1.72,0,0,0,0
_C_ascend::grouped_matmul_swiglu_quant_v2,,,283.18,343.02,0,161.643,0,0
aten::empty,,,4.52,17.95,0,0,0,0
empty_tensor,,,13.43,13.43,0,0,0,0
aten::empty,,,1.7,9.51,0,0,0,0
empty_tensor,,,7.81,7.81,0,0,0,0
aten::empty,,,3.74,19.11,0,0,0,0
empty_tensor,,,15.37,15.37,0,0,0,0
aclnnGroupedMatmulSwigluQuantWeightNzV2,,,13.27,13.27,161.643,161.643,0,0
Event::record,,,78.55,92.08,0,0.0,0,0
record_event,,,13.53,13.53,0.0,0.0,0,0
npu::npu_grouped_matmul,,,594.54,631.45,0,93.162,0,0
empty_tensor,,,18.96,18.96,0,0,0,0
npu::get_npu_format,,,4.66,4.66,0,0,0,0
aclnnGroupedMatmulWeightNz,,,13.29,13.29,93.162,93.162,0,0
Event::record,,,79.08,93.37,0,0.02,0,0
record_event,,,14.29,14.29,0.02,0.02,0,0
aten::abs,,,80.53,104.76,0,1.22,0,0
empty_tensor,,,13.15,13.15,0,0,0,0
aclnnAbs,,,11.08,11.08,1.22,1.22,0,0
npu::npu_moe_token_unpermute,,,95.1,117.41,0,12.1805,0,0
empty_tensor,,,12.29,12.29,0,0,0,0
aclnnMoeTokenUnpermute,,,10.02,10.02,12.1805,12.1805,0,0
vllm::maybe_pad_and_reduce,,,40.9,311.84,0,12.401,0,0
vllm::reduce_scatter,,,122.92,270.94,0,12.401,0,0
aten::movedim,,,1.63,14.06,0,0,0,0
aten::movedim,,,2.64,12.43,0,0,0,0
aten::permute,,,3.34,9.79,0,0,0,0
aten::as_strided,,,6.45,6.45,0,0,0,0
aten::empty,,,3.1,15.01,0,0,0,0
empty_tensor,,,11.91,11.91,0,0,0,0
c10d::_reduce_scatter_base_,,,68.35,98.28,0,12.381,0,0
record_event,,,14.56,14.56,0.02,0.02,0,0
wait_event,,,3.21,3.21,0.02,0.02,0,0
HcclReduceScatterBase,,,3.08,5.03,0,11.901,0,0
HcclReduceScatter,,,1.95,1.95,11.901,11.901,0,0
record_event,,,4.48,4.48,0.22,0.22,0,0
record_event,,,2.65,2.65,0.22,0.22,0,0
wait_event,,,3.43,3.43,0.02,0.02,0,0
destroy_event,,,1.83,1.83,0,0,0,0
aten::movedim,,,1.35,15.41,0,0,0,0
aten::movedim,,,2.61,14.06,0,0,0,0
aten::permute,,,6.13,11.45,0,0,0,0
aten::as_strided,,,5.32,5.32,0,0,0,0
Event::wait,,,63.51,78.14,0,0,0,0
wait_event,,,14.63,14.63,0,0,0,0
npu::npu_dynamic_quant,,,33.05,61.8,0,3.94,0,0
empty_tensor,,,13.16,13.16,0,0,0,0
empty_tensor,,,4.37,4.37,0,0,0,0
aclnnDynamicQuantV2,,,11.22,11.22,3.94,3.94,0,0
Event::wait,,,58.26,69.57,0,0,0,0
wait_event,,,11.31,11.31,0,0,0,0
npu::npu_quant_matmul,,,39.72,72.67,0,21.6405,0,0
empty_tensor,,,14.97,14.97,0,0,0,0
aten::empty,,,2.56,5.6,0,0,0,0
empty_tensor,,,3.04,3.04,0,0,0,0
aten::empty,,,1.07,2.71,0,0,0,0
empty_tensor,,,1.64,1.64,0,0,0,0
aclnnQuantMatmulWeightNz,,,9.67,9.67,21.6405,21.6405,0,0
Event::wait,,,56.31,67.6,0,0.2,0,0
wait_event,,,11.29,11.29,0.2,0.2,0,0
_C_ascend::npu_dequant_swiglu_quant,,,55.56,100.4,0,5.88,0,0
aten::empty,,,3.13,17.12,0,0,0,0
empty_tensor,,,13.99,13.99,0,0,0,0
aten::empty,,,1.37,6.13,0,0,0,0
empty_tensor,,,4.76,4.76,0,0,0,0
aten::empty,,,2.43,10.27,0,0,0,0
empty_tensor,,,7.84,7.84,0,0,0,0
aclnnDequantSwigluQuantV2,,,11.32,11.32,5.88,5.88,0,0
Event::wait,,,60.24,72.48,0,0.02,0,0
wait_event,,,12.24,12.24,0.02,0.02,0,0
npu::npu_quant_matmul,,,36.37,68.53,0,17.74,0,0
empty_tensor,,,11.17,11.17,0,0,0,0
aten::empty,,,5.59,8.64,0,0,0,0
empty_tensor,,,3.05,3.05,0,0,0,0
aten::empty,,,1.04,3.37,0,0,0,0
empty_tensor,,,2.33,2.33,0,0,0,0
aclnnQuantMatmulWeightNz,,,8.98,8.98,17.74,17.74,0,0
Event::record,,,68.72,81.3,0,0.02,0,0
record_event,,,12.58,12.58,0.02,0.02,0,0
Event::wait,,,45.2,56.15,0,0.02,0,0
wait_event,,,10.95,10.95,0.02,0.02,0,0
destroy_event,,,6.08,6.08,0,0,0,0
destroy_event,,,6.83,6.83,0,0,0,0
destroy_event,,,4.56,4.56,0,0,0,0
destroy_event,,,1.43,1.43,0,0,0,0
destroy_event,,,2.6,2.6,0,0,0,0
destroy_event,,,1.6,1.6,0,0,0,0
aten::add,,,28.5,51.26,0,7.8005,0,0
empty_tensor,,,14.61,14.61,0,0,0,0
aclnnAdd,,,8.15,8.15,7.8005,7.8005,0,0
vllm::maybe_all_reduce_tensor_model_parallel,,,29.24,29.24,0,0,0,0
aten::unsqueeze,,,5.22,9.66,0,0,0,0
aten::as_strided,,,4.44,4.44,0,0,0,0
aten::unsqueeze,,,2.37,4.49,0,0,0,0
aten::as_strided,,,2.12,2.12,0,0,0,0
aten::unsqueeze,,,2.0,4.11,0,0,0,0
aten::as_strided,,,2.11,2.11,0,0,0,0
aten::unsqueeze,,,1.92,3.54,0,0,0,0
aten::as_strided,,,1.62,1.62,0,0,0,0
